,nama,harga
0,b'SMARTPHONE APPLE IPHONE 12 PRO 512GB GOLD (MGMW3PA/A)',24999000
1,b'SMARTPHONE APPLE IPHONE 12 128GB WHITE (MGJC3PA/A)',16499000
2,b'SMARTPHONE APPLE IPHONE 12 PRO MAX 128GB GOLD (MGD93PA/A)',20499000
3,b'SMARTPHONE APPLE IPHONE 12 PRO MAX 128GB PASIFIC BLUE (MGDA3PA/A)',20499000
4,b'STANDING PORTABLE CHARGER IPHONE IWATCH 2 IN 1',100000
5,b'SMARTPHONE APPLE IPHONE 12 MINI 64GB WHITE',12999000
6,b'SMARTPHONE APPLE IPHONE 12 128GB GREEN (MGJF3PA/A)',16499000
7,b'SMARTPHONE APPLE IPHONE 12 128GB BLUE (MGJE3PA/A)',16499000
8,b'SMARTPHONE APPLE IPHONE 12 PRO 256GB SILVER (MGMQ3PA/A)',20999000
9,b'SMARTPHONE APPLE IPHONE 12 PRO MAX 256GB SILVER',22999000
10,b'SMARTPHONE APPLE IPHONE 12 PRO 256GB GOLD (MGMR3PA/A)',23500000
11,b'SMARTPHONE APPLE IPHONE 11 128GB WHITE NEW PACKAGE (TANPA KEPALA ADAPTOR) MHDJ3PA/A',13700000
12,b'SMARTPHONE APPLE IPHONE 11 128GB BLACK NEW PACKAGE (TANPA KEPALA ADAPTOR) MHDH3PA/A',13700000
13,b'SMARTPHONE APPLE IPHONE 12 PRO MAX 128GB GRAPHITE (MGD73PA/A)',20499000
14,b'SMARTPHONE APPLE IPHONE 12 PRO MAX 128GB SILVER (MGD83PA/A)',20499000
15,b'SMARTPHONE APPLE IPHONE 12 PRO 512GB GRAPHITE',24999000
16,b'SMARTPHONE APPLE IPHONE 12 PRO 256GB GRAPHITE (MGMP3PA/A)',23500000
17,b'SMARTPHONE APPLE IPHONE 12 PRO 128GB GOLD (MGMM3PA/A)',18999000
18,b'SMARTPHONE APPLE IPHONE 12 PRO 128GB SILVER (MGML3PA/A)',18499000
19,b'SMARTPHONE APPLE IPHONE 12 MINI 128GB BLUE',14499000
20,b'SMARTPHONE APPLE IPHONE 12 MINI 128GB RED',14499000
21,b'SMARTPHONE APPLE IPHONE 12 MINI 128GB BLACK (MGE33PA/A)',14499000
22,b'SMARTPHONE APPLE IPHONE 12 MINI 64GB RED',12999000
23,b'SMARTPHONE APPLE IPHONE 12 128GB RED (MGJD3PA/A)',16499000
